#  Upper Midwest Precipitation
# Units: Inches
# Missing: -99
Date,Value
200001,1
200002,1.25
200003,1.29
200004,2.01
200005,4
200006,5.5
200007,3.9
200008,3.21
200009,2.71
200010,1.62
200011,2.82
200012,1.59
200101,1.13
200102,1.87
200103,0.78
200104,4.33
200105,5.06
200106,3.97
200107,2.84
200108,3.41
200109,3.52
200110,3
200111,2.08
200112,1.09
200201,0.53
200202,1.27
200203,1.75
200204,3.29
200205,3.2
200206,4.73
200207,4.11
200208,4.84
200209,2.65
200210,3.22
200211,0.58
200212,0.58
200301,0.44
200302,0.71
200303,1.4
200304,2.64
200305,4.18
200306,3.79
200307,3.45
200308,1.74
200309,3.1
200310,1.42
200311,2.83
200312,1.24
200401,1.1
200402,1.17
200403,2.75
200404,1.81
200405,6.75
200406,3.45
200407,3.78
200408,3.36
200409,3.13
200410,3.05
200411,1.7
200412,1.42
200501,1.78
200502,1.27
200503,1.03
200504,2.06
200505,3.24
200506,4.51
200507,3.1
200508,2.98
200509,3.85
200510,2.22
200511,2.83
200512,1.29
200601,1.38
200602,0.82
200603,2.23
200604,2.88
200605,3.38
200606,2.47
200607,3.02
200608,4.14
200609,3.44
200610,2.23
200611,1.59
200612,1.93
200701,1.05
200702,1.19
200703,2.43
200704,3.03
200705,3.3
200706,3.2
200707,2.61
200708,5.97
200709,3.35
200710,4.61
200711,0.57
200712,2.12
200801,1.24
200802,1.45
200803,1.11
200804,4.29
200805,3.42
200806,6.01
200807,4.02
200808,1.88
200809,3.81
200810,2.82
200811,1.68
200812,2.42
200901,0.79
200902,1.31
200903,2.52
200904,2.9
200905,2.69
200906,3.81
200907,2.94
200908,4.66
200909,1.51
200910,5.45
200911,0.95
200912,2.14
201001,0.99
201002,0.77
201003,1.02
201004,2.26
201005,3.47
201006,6.91
201007,5.99
201008,4.14
201009,5.82
201010,1.92
201011,1.69
201012,1.56
201101,1.08
201102,1.13
201103,1.75
201104,3.79
201105,4.12
201106,4.52
201107,3.99
201108,2.96
201109,2.3
201110,1.59
201111,1.73
201112,1.36
201201,1.04
201202,1.34
201203,1.99
201204,2.8
201205,4.49
201206,3.48
201207,2.86
201208,2.45
201209,1.48
201210,3.18
201211,0.99
201212,1.62
201301,1.67
201302,1.54
201303,1.76
201304,4.81
201305,5.37
201306,5.02
201307,2.68
201308,2.23
201309,2.15
201310,3.37
201311,1.94
201312,1.44
201401,1.11
201402,1.26
201403,1.02
201404,4.23
201405,3.48
201406,7.16
201407,2.9
201408,4.5
201409,3.49
201410,2.71
201411,1.68
201412,1.19
201501,0.69
201502,0.71
201503,0.68
201504,2.41
201505,4.84
201506,4.58
201507,3.88
201508,4.09
201509,3.45
201510,2.25
201511,3.24
201512,3.47
201601,0.89
201602,1.05
201603,2.85
201604,2.54
201605,3.08
201606,3.93
201607,5.36
201608,5.41
201609,5.11
201610,2.6
201611,1.75
201612,1.82
201701,1.75
201702,1.29
201703,1.95
201704,3.68
201705,3.98
201706,4.4
201707,3.13
201708,4.28
201709,2.51
201710,4.7
201711,1.08
201712,0.99
201801,1.08
201802,1.68
201803,1.35
201804,1.95
201805,3.97
201806,5.44
201807,3.46
201808,4.81
201809,5.25
201810,4.53
201811,1.75
201812,1.67
201901,1.33
201902,2.44
201903,1.74
201904,3.22
201905,5.48
201906,3.84
201907,4.13
201908,3.22
201909,6.13
201910,4.79
201911,1.77
201912,2.25
202001,1.55
202002,0.59
202003,2.35
202004,1.97
202005,3.5
202006,4.24
202007,4.38
202008,3.39
202009,2.79
202010,2.55
202011,1.78
202012,1.03
